ID|invoice_date|address|city|state|country|post_code|total|customer_ID
1|2009-01-01|Theodor-Heuss-Straße 34|Stuttgart||Germany|70174|198|2
2|2009-01-02|Ullevålsveien 14|Oslo||Norway|0171|396|4
3|2009-01-03|Grétrystraat 63|Brussels||Belgium|1000|594|8
4|2009-01-06|8210 111 ST NW|Edmonton|AB|Canada|T6G 2C7|891|14
5|2009-01-11|69 Salem Street|Boston|MA|USA|2113|1386|23
6|2009-01-19|Berger Straße 10|Frankfurt||Germany|60316|99|37
7|2009-02-01|Barbarossastraße 19|Berlin||Germany|10779|198|38
8|2009-02-01|8, Rue Hanovre|Paris||France|75002|198|40
9|2009-02-02|9, Place Louis Barthou|Bordeaux||France|33000|396|42
10|2009-02-03|3 Chatham Street|Dublin|Dublin|Ireland||594|46
11|2009-02-06|202 Hoxton Street|London||United Kingdom|N1 5LH|891|52
12|2009-02-11|Theodor-Heuss-Straße 34|Stuttgart||Germany|70174|1386|2
13|2009-02-19|1600 Amphitheatre Parkway|Mountain View|CA|USA|94043-1351|99|16
14|2009-03-04|1 Microsoft Way|Redmond|WA|USA|98052-8300|198|17
15|2009-03-04|1 Infinite Loop|Cupertino|CA|USA|95014|198|19
16|2009-03-05|801 W 4th Street|Reno|NV|USA|89503|396|21
17|2009-03-06|319 N Frances Street|Madison|WI|USA|53703|594|25
18|2009-03-09|194A Chain Lake Drive|Halifax|NS|Canada|B3S 1C5|891|31
19|2009-03-14|8, Rue Hanovre|Paris||France|75002|1386|40
20|2009-03-22|110 Raeburn Pl|Edinburgh||United Kingdom|EH4 1HH|99|54
21|2009-04-04|421 Bourke Street|Sidney|NSW|Australia|2010|198|55
22|2009-04-04|Calle Lira, 198|Santiago||Chile||198|57
23|2009-04-05|3,Raj Bhavan Road|Bangalore||India|560001|396|59
24|2009-04-06|Ullevålsveien 14|Oslo||Norway|0171|594|4
25|2009-04-09|Rua Dr Falcão Filho, 155|São Paulo|SP|Brazil|01007-010|891|10
26|2009-04-14|1 Infinite Loop|Cupertino|CA|USA|95014|1386|19
27|2009-04-22|5112 48 Street|Yellowknife|NT|Canada|X1A 1N6|99|33
28|2009-05-05|Rua da Assunção 53|Lisbon||Portugal||198|34
29|2009-05-05|Tauentzienstraße 8|Berlin||Germany|10789|198|36
30|2009-05-06|Barbarossastraße 19|Berlin||Germany|10779|396|38
31|2009-05-07|9, Place Louis Barthou|Bordeaux||France|33000|594|42
32|2009-05-10|Lijnbaansgracht 120bg|Amsterdam|VV|Netherlands|1016|891|48
33|2009-05-15|Calle Lira, 198|Santiago||Chile||1386|57
34|2009-05-23|Praça Pio X, 119|Rio de Janeiro|RJ|Brazil|20040-020|99|12
35|2009-06-05|Qe 7 Bloco G|Brasília|DF|Brazil|71020-677|198|13
